,Predictor or Set of Predictors,Standardized Dominance with OCCP & INDP
0,WKHP,0.29419794187643594
1,AGEP,0.13018411349124734
2,AGE-SQUARED,0.09635578010285274
3,INDP_6970,0.08597908414930938
4,NOC,0.07252499259325867
5,SEX_Male,0.06768737921554688
6,OCCP_1021,0.042250324992325956
7,INDP_8680,0.04136720017136063
8,OCCP_0440,0.03185950503620938
9,OCCP_2545,0.027471611789408254
10,INDP_6890,0.026235807699558397
11,INDP_6871,0.022206076755628797
12,OCCP_4820,0.022200884481129023
13,OCCP_0120,0.02082127079690389
14,INDP_7860,0.018658026848824675
15,TOTAL,1.0
16,% Variance Explained (RÂ²),0.23486738661479847
17,N,26653
